location_mm	Angle_mrad	Charge_pC	ChargeDen_pC/mrad
-9.17436e+00	-6.11624e+00	1.87337e+02	9.80143e+02
-9.46106e+00	-6.30738e+00	1.84610e+02	9.65875e+02
-9.74776e+00	-6.49851e+00	1.81882e+02	9.51600e+02
-1.00345e+01	-6.68964e+00	1.78867e+02	9.35825e+02
-1.03212e+01	-6.88077e+00	1.75229e+02	9.16792e+02
-1.06079e+01	-7.07191e+00	1.71676e+02	8.98202e+02
-1.08946e+01	-7.26304e+00	1.67702e+02	8.77411e+02
-1.11813e+01	-7.45417e+00	1.63524e+02	8.55551e+02
-1.14680e+01	-7.64530e+00	1.59295e+02	8.33424e+02
-1.17547e+01	-7.83644e+00	1.54832e+02	8.10074e+02
-1.20414e+01	-8.02757e+00	1.50145e+02	7.85556e+02
-1.23281e+01	-8.21870e+00	1.45761e+02	7.62616e+02
-1.26148e+01	-8.40983e+00	1.41198e+02	7.38744e+02
-1.29015e+01	-8.60097e+00	1.36795e+02	7.15706e+02
-1.31881e+01	-8.79210e+00	1.32555e+02	6.93522e+02
-1.34748e+01	-8.98323e+00	1.28354e+02	6.71542e+02
-1.37615e+01	-9.17436e+00	1.24432e+02	6.51025e+02
-1.40482e+01	-9.36550e+00	1.20458e+02	6.30232e+02
-1.43349e+01	-9.55663e+00	1.16494e+02	6.09491e+02
-1.46216e+01	-9.74776e+00	1.12817e+02	5.90255e+02
-1.49083e+01	-9.93890e+00	1.09138e+02	5.71008e+02
-1.51950e+01	-1.01300e+01	1.05575e+02	5.52368e+02
-1.54817e+01	-1.03212e+01	1.02392e+02	5.35710e+02
-1.57684e+01	-1.05123e+01	9.90634e+01	5.18297e+02
-1.60551e+01	-1.07034e+01	9.60433e+01	5.02496e+02
-1.63418e+01	-1.08946e+01	9.30584e+01	4.86879e+02
-1.66285e+01	-1.10857e+01	9.03327e+01	4.72618e+02
-1.69152e+01	-1.12768e+01	8.76734e+01	4.58705e+02
-1.72019e+01	-1.14680e+01	8.51649e+01	4.45580e+02
-1.74886e+01	-1.16591e+01	8.27792e+01	4.33098e+02
-1.77753e+01	-1.18502e+01	8.04717e+01	4.21025e+02
-1.80620e+01	-1.20414e+01	7.82210e+01	4.09250e+02
-1.83487e+01	-1.22325e+01	7.60762e+01	3.98028e+02
-1.86354e+01	-1.24236e+01	7.41606e+01	3.88006e+02
-1.89221e+01	-1.26148e+01	7.22799e+01	3.78166e+02
-1.92088e+01	-1.28059e+01	7.04663e+01	3.68677e+02
-1.94955e+01	-1.29970e+01	6.88626e+01	3.60287e+02
-1.97822e+01	-1.31881e+01	6.71775e+01	3.51471e+02
-2.00689e+01	-1.33793e+01	6.58227e+01	3.44382e+02
-2.03556e+01	-1.35704e+01	6.43081e+01	3.36458e+02
-2.06423e+01	-1.37615e+01	6.28923e+01	3.29051e+02
-2.09290e+01	-1.39527e+01	6.15768e+01	3.22168e+02
-2.12157e+01	-1.41438e+01	6.02670e+01	3.15315e+02
-2.15024e+01	-1.43349e+01	5.90898e+01	3.09156e+02
-2.17891e+01	-1.45261e+01	5.80049e+01	3.03480e+02
-2.20758e+01	-1.47172e+01	5.69094e+01	2.97748e+02
-2.23625e+01	-1.49083e+01	5.58153e+01	2.92024e+02
-2.26492e+01	-1.50995e+01	5.48086e+01	2.86757e+02
-2.29359e+01	-1.52906e+01	5.37967e+01	2.81462e+02
-2.32226e+01	-1.54817e+01	5.29284e+01	2.76920e+02
-2.35093e+01	-1.56729e+01	5.20097e+01	2.72113e+02
-2.37960e+01	-1.58640e+01	5.11198e+01	2.67457e+02
-2.40827e+01	-1.60551e+01	5.02546e+01	2.62931e+02
-2.43694e+01	-1.62463e+01	4.93565e+01	2.58232e+02
-2.46561e+01	-1.64374e+01	4.86112e+01	2.54332e+02
-2.49428e+01	-1.66285e+01	4.78869e+01	2.50543e+02
-2.52295e+01	-1.68197e+01	4.71308e+01	2.46587e+02
-2.55162e+01	-1.70108e+01	4.65015e+01	2.43294e+02
-2.58029e+01	-1.72019e+01	4.58612e+01	2.39945e+02
-2.60896e+01	-1.73931e+01	4.51335e+01	2.36137e+02
-2.63763e+01	-1.75842e+01	4.44803e+01	2.32720e+02
-2.66630e+01	-1.77753e+01	4.38277e+01	2.29305e+02
-2.69497e+01	-1.79665e+01	4.32501e+01	2.26283e+02
-2.72364e+01	-1.81576e+01	4.27028e+01	2.23420e+02
-2.75231e+01	-1.83487e+01	4.20929e+01	2.20229e+02
-2.78098e+01	-1.85399e+01	4.15003e+01	2.17128e+02
-2.80965e+01	-1.87310e+01	4.10011e+01	2.14517e+02
-2.83832e+01	-1.89221e+01	4.04545e+01	2.11657e+02
-2.86699e+01	-1.91133e+01	3.99041e+01	2.08777e+02
-2.89566e+01	-1.93044e+01	3.93870e+01	2.06072e+02
-2.92433e+01	-1.94955e+01	3.88800e+01	2.03419e+02
-2.95300e+01	-1.96867e+01	3.83793e+01	2.00799e+02
-2.98167e+01	-1.98778e+01	3.78361e+01	1.97958e+02
-3.01034e+01	-2.00689e+01	3.73572e+01	1.95452e+02
-3.03901e+01	-2.02601e+01	3.68998e+01	1.93059e+02
-3.06768e+01	-2.04512e+01	3.64204e+01	1.90551e+02
-3.09635e+01	-2.06423e+01	3.59798e+01	1.88245e+02
-3.12502e+01	-2.08335e+01	3.55578e+01	1.86037e+02
-3.15369e+01	-2.10246e+01	3.51310e+01	1.83804e+02
-3.18236e+01	-2.12157e+01	3.46935e+01	1.81516e+02
-3.21103e+01	-2.14069e+01	3.42640e+01	1.79268e+02
-3.23970e+01	-2.15980e+01	3.38101e+01	1.76893e+02
-3.26837e+01	-2.17891e+01	3.34100e+01	1.74800e+02
-3.29704e+01	-2.19802e+01	3.30419e+01	1.72874e+02
-3.32571e+01	-2.21714e+01	3.26677e+01	1.70916e+02
-3.35438e+01	-2.23625e+01	3.22516e+01	1.68740e+02
-3.38305e+01	-2.25536e+01	3.18360e+01	1.66565e+02
-3.41172e+01	-2.27448e+01	3.15156e+01	1.64889e+02
-3.44039e+01	-2.29359e+01	3.11507e+01	1.62979e+02
-3.46906e+01	-2.31270e+01	3.07843e+01	1.61063e+02
-3.49773e+01	-2.33182e+01	3.04638e+01	1.59386e+02
-3.52640e+01	-2.35093e+01	3.00554e+01	1.57249e+02
-3.55507e+01	-2.37004e+01	2.97257e+01	1.55524e+02
-3.58374e+01	-2.38916e+01	2.93891e+01	1.53763e+02
-3.61241e+01	-2.40827e+01	2.90055e+01	1.51756e+02
-3.64108e+01	-2.42738e+01	2.86890e+01	1.50100e+02
-3.66975e+01	-2.44650e+01	2.83678e+01	1.48420e+02
-3.69842e+01	-2.46561e+01	2.80498e+01	1.46756e+02
-3.72709e+01	-2.48472e+01	2.77383e+01	1.45126e+02
-3.75576e+01	-2.50384e+01	2.74024e+01	1.43369e+02
-3.78443e+01	-2.52295e+01	2.71340e+01	1.41964e+02
-3.81310e+01	-2.54206e+01	2.68170e+01	1.40306e+02
-3.84177e+01	-2.56118e+01	2.64975e+01	1.38634e+02
-3.87044e+01	-2.58029e+01	2.62531e+01	1.37355e+02
-3.89910e+01	-2.59940e+01	2.59351e+01	1.35692e+02
-3.92777e+01	-2.61852e+01	2.56237e+01	1.34063e+02
-3.95644e+01	-2.63763e+01	2.53811e+01	1.32793e+02
-3.98511e+01	-2.65674e+01	2.50870e+01	1.31254e+02
-4.01378e+01	-2.67586e+01	2.47904e+01	1.29702e+02
-4.04245e+01	-2.69497e+01	2.45309e+01	1.28345e+02
-4.07112e+01	-2.71408e+01	2.42686e+01	1.26973e+02
-4.09979e+01	-2.73320e+01	2.39789e+01	1.25457e+02
-4.12846e+01	-2.75231e+01	2.37398e+01	1.24206e+02
-4.15713e+01	-2.77142e+01	2.34771e+01	1.22831e+02
-4.18580e+01	-2.79054e+01	2.32251e+01	1.21513e+02
-4.21447e+01	-2.80965e+01	2.30113e+01	1.20394e+02
-4.24314e+01	-2.82876e+01	2.26904e+01	1.18716e+02
-4.27181e+01	-2.84788e+01	2.25049e+01	1.17745e+02
-4.30048e+01	-2.86699e+01	2.22540e+01	1.16432e+02
-4.32915e+01	-2.88610e+01	2.20247e+01	1.15233e+02
-4.35782e+01	-2.90522e+01	2.17767e+01	1.13935e+02
-4.38649e+01	-2.92433e+01	2.15110e+01	1.12545e+02
