# wavelength [nm], transmission T [%]
3.195000000000000000e+02,7.660995711665001373e+00
3.200000000000000000e+02,5.892546383348487460e+00
3.205000000000000000e+02,4.856832968711533027e+00
3.210000000000000000e+02,4.679283925328172167e+00
3.215000000000000000e+02,5.076290717310631528e+00
3.220000000000000000e+02,6.079912242126726873e+00
3.225000000000000000e+02,7.687990802254272893e+00
3.230000000000000000e+02,8.315711635835953075e+00
3.235000000000000000e+02,7.365631248625166272e+00
3.240000000000000000e+02,7.248730003416098633e+00
3.245000000000000000e+02,7.940631827749753846e+00
3.250000000000000000e+02,8.153738260160757534e+00
3.255000000000000000e+02,8.617844701064996116e+00
3.260000000000000000e+02,1.086149918148485938e+01
3.265000000000000000e+02,1.247405695044375484e+01
3.270000000000000000e+02,1.283059413271053195e+01
3.275000000000000000e+02,1.343850472674560592e+01
3.280000000000000000e+02,1.399908704346336208e+01
3.285000000000000000e+02,1.258697790022393370e+01
3.290000000000000000e+02,1.089273899763997022e+01
3.295000000000000000e+02,1.000313333868740528e+01
3.300000000000000000e+02,9.298631349649529199e+00
3.305000000000000000e+02,8.388010423303949636e+00
3.310000000000000000e+02,7.675711092044935846e+00
3.315000000000000000e+02,6.949806516870965289e+00
3.320000000000000000e+02,6.023638309338722685e+00
3.325000000000000000e+02,5.528843193300279957e+00
3.330000000000000000e+02,5.813322002318877857e+00
3.335000000000000000e+02,6.380152761682800211e+00
3.340000000000000000e+02,6.855743959776338770e+00
3.345000000000000000e+02,7.563835497817813724e+00
3.350000000000000000e+02,8.283692479181372192e+00
3.355000000000000000e+02,8.546754610873936286e+00
3.360000000000000000e+02,8.668996039313361379e+00
3.365000000000000000e+02,8.847126483536122521e+00
3.370000000000000000e+02,8.441052233848193254e+00
3.375000000000000000e+02,7.609257143080133901e+00
3.380000000000000000e+02,7.208683135817326892e+00
3.385000000000000000e+02,6.476111772730417826e+00
3.390000000000000000e+02,5.649442097914261218e+00
3.395000000000000000e+02,5.575048298154317905e+00
3.400000000000000000e+02,5.806651379520732625e+00
3.405000000000000000e+02,5.952418259908482945e+00
3.410000000000000000e+02,6.375344306802993799e+00
3.415000000000000000e+02,7.634080390766433410e+00
3.420000000000000000e+02,9.491755615687921477e+00
3.425000000000000000e+02,1.111477320842573846e+01
3.430000000000000000e+02,1.224203952990705524e+01
3.435000000000000000e+02,1.290134064397826563e+01
3.440000000000000000e+02,1.323732519178730804e+01
3.445000000000000000e+02,1.284673903196529210e+01
3.450000000000000000e+02,1.210850255880697546e+01
3.455000000000000000e+02,1.149376851293249402e+01
3.460000000000000000e+02,1.135890264484138434e+01
3.465000000000000000e+02,1.200120442882862193e+01
3.470000000000000000e+02,1.278337505006986952e+01
3.475000000000000000e+02,1.324199430573124481e+01
3.480000000000000000e+02,1.371335528755406052e+01
3.485000000000000000e+02,1.262082266967411925e+01
3.490000000000000000e+02,9.453647821387660244e+00
3.495000000000000000e+02,6.915952257552676841e+00
3.500000000000000000e+02,5.954832289216405172e+00
3.505000000000000000e+02,5.824069380120641348e+00
3.510000000000000000e+02,7.669257853823063797e+00
3.515000000000000000e+02,1.249387659587071298e+01
3.520000000000000000e+02,1.744666782395895055e+01
3.525000000000000000e+02,2.036762860346305715e+01
3.530000000000000000e+02,2.254548067145331558e+01
3.535000000000000000e+02,2.353255928026799282e+01
3.540000000000000000e+02,2.395844656103081149e+01
3.545000000000000000e+02,2.393460797152709674e+01
3.550000000000000000e+02,2.365306040352724892e+01
3.555000000000000000e+02,2.360522969928454273e+01
3.560000000000000000e+02,2.354171850584898351e+01
3.565000000000000000e+02,2.351113122913408304e+01
3.570000000000000000e+02,2.333565526309681459e+01
3.575000000000000000e+02,2.361540679317223734e+01
3.580000000000000000e+02,2.352640203149199039e+01
3.585000000000000000e+02,2.302303831218203811e+01
3.590000000000000000e+02,2.194973659393927790e+01
3.595000000000000000e+02,2.103211576792575599e+01
3.600000000000000000e+02,2.045166100665031905e+01
3.605000000000000000e+02,2.059400201639013162e+01
3.610000000000000000e+02,2.197510903472033661e+01
3.615000000000000000e+02,2.243097397052527953e+01
3.620000000000000000e+02,2.163035489924381949e+01
3.625000000000000000e+02,2.090608255746553823e+01
3.630000000000000000e+02,2.047655422503982692e+01
3.635000000000000000e+02,1.990753832099638387e+01
3.640000000000000000e+02,2.028335090062642720e+01
3.645000000000000000e+02,2.157422464595482836e+01
3.650000000000000000e+02,2.375051225113750775e+01
3.655000000000000000e+02,2.595155410567404530e+01
3.660000000000000000e+02,2.671684770538111309e+01
3.665000000000000000e+02,2.664340218798994897e+01
3.670000000000000000e+02,2.734680161418014421e+01
3.675000000000000000e+02,2.830491523513022756e+01
3.680000000000000000e+02,2.915813076565182982e+01
3.685000000000000000e+02,3.016139721943048002e+01
3.690000000000000000e+02,3.172714660073296855e+01
3.695000000000000000e+02,3.370850440138354998e+01
3.700000000000000000e+02,3.454469266512612080e+01
3.705000000000000000e+02,3.387318877453732568e+01
3.710000000000000000e+02,3.336742240359999556e+01
3.715000000000000000e+02,3.301745529098481313e+01
3.720000000000000000e+02,3.264192919323826203e+01
3.725000000000000000e+02,3.326610622901466030e+01
